Rnom,Xnom,Ynom,Znom,R,X,Y,Z,Nx,Ny,Nz,I,J,K,LateralDensity,DirectionDensity,ExposureTime,oriX,oriY,oriZ,Inc,ang,ViewAng,Rs,PointDev
8.0013,-0.9926508452700636,4.107907193099996,6.794155170605242,7.996182805486377,-0.992016,4.10528,6.78981,-0.1555787732780721,0.5032491414277181,0.850020909717846,8.14835e-05,0.00122949,-0.999999,100,10,0.6,-0.15566,0.50202,1.85002,2.585670585804293,2.585670691508803,-0.5345261064036279,83.20584482939476,-0.0051171945136232
8.0013,6.591309263659674,-1.0056850879659924,4.423125748227943,7.956228168981832,6.55418,-1.00002,4.39821,0.8214622175748072,-0.1330455381522554,0.5545256620525842,8.14835e-05,0.00122949,-0.999999,100,10,0.6,0.821381,-0.134275,1.554525,2.158704813297415,2.1587051734018075,-0.5553127173296638,85.57687425177205,-0.0450718310181681
8.0013,-1.668578559900951,7.12195201162188,3.2425987762277875,7.965054595205233,-1.66102,7.08969,3.22791,-0.2175239104110773,0.8870632437364923,0.4071881015098131,8.14835e-05,0.00122949,-0.999999,100,10,0.6,-0.217605,0.885834,1.407187,1.9889948473778205,1.9889948424262296,0.0333214496397551,86.7574012237722,-0.0362454047947675
8.0013,0.1330770819020757,-2.479962397563886,7.606107985490452,7.965640770362168,0.132484,-2.46891,7.57221,0.0213971710566174,-0.3209260073940991,0.9468625342935776,8.14835e-05,0.00122949,-0.999999,100,10,0.6,0.021316,-0.322155,1.946862,2.815354501789998,3.467830637753358,-0.990303997675896,82.39389201450955,-0.0356592296378321
8.0013,0.7910596497785124,-1.2824241460468664,7.858143204989857,7.951984456496127,0.786184,-1.27452,7.80971,0.1269274081526181,-0.1497486298562441,0.9805431050779136,8.14835e-05,0.00122949,-0.999999,100,10,0.6,0.126846,-0.150978,1.980542,2.944888988526331,2.944888952218062,-0.9437250950383612,82.14185679501014,-0.0493155435038739
8.0013,-4.645658903247024,-1.2662893200010736,6.390239933111501,7.955936043898292,-4.61932,-1.25911,6.35401,-0.5867321806285088,-0.1492177176963967,0.7959142045097531,8.14835e-05,0.00122949,-0.999999,100,10,0.6,-0.586814,-0.150447,1.795913,2.491693575455411,2.4916935362085866,-0.7784725104671405,83.6097600668885,-0.0453639561017089
8.0013,3.3399212854611755,3.502583373435882,6.371627516502663,7.973651058762228,3.32838,3.49048,6.34961,0.4247792400315015,0.441822509193663,0.7901616718166451,8.14835e-05,0.00122949,-0.999999,100,10,0.6,0.424698,0.440593,1.790161,2.4809258754083467,3.80225937940909,-0.508484511343583,83.62837248349734,-0.0276489412377722
8.0013,2.6381363923115324,-4.283951039175065,6.221639780597426,7.973225950448162,2.62888,-4.26892,6.19981,0.3320078106914818,-0.5307798773129516,0.7797714636221931,8.14835e-05,0.00122949,-0.999999,100,10,0.6,0.331926,-0.532009,1.77977,2.4660958558167527,3.8170899011204926,-0.934903557939703,83.77836021940257,-0.0280740495518383
8.0013,4.130926817506627,2.6078242551652457,6.336836590332466,7.958209558368013,4.10868,2.59378,6.30271,0.5127442414081714,0.3244163447095619,0.7948882803187158,8.14835e-05,0.00122949,-0.999999,100,10,0.6,0.512663,0.323187,1.794887,2.4888928749117536,3.794292293423092,-0.5652989423689496,83.66316340966753,-0.0430904416319872
8.0013,-2.9059994852597177,3.2216652373034558,6.722859643070107,7.973272081956065,-2.89582,3.21038,6.69931,-0.3637185304000404,0.3964808058645801,0.8429186207603959,8.14835e-05,0.00122949,-0.999999,100,10,0.6,-0.3638,0.395251,1.842918,2.572629705203911,2.5726295214337784,-0.5760210475770807,83.27714035692989,-0.0280279180439357
8.0013,-1.8228528035134517,-4.870302557896041,6.080967220868275,7.977014100081559,-1.81732,-4.85552,6.06251,-0.2235788215639751,-0.5983890478626187,0.7693783581217584,8.14835e-05,0.00122949,-0.999999,100,10,0.6,-0.22366,-0.599619,1.769377,2.4498439250465216,2.449843682623968,-0.9559393398013494,83.91903277913173,-0.0242858999184418
8.0013,-0.622808972403958,7.116408105326083,3.604115196874589,7.967987779054132,-0.620216,7.08678,3.58911,-0.0835539335233832,0.8885967716132254,0.4510149860828613,8.14835e-05,0.00122949,-0.999999,100,10,0.6,-0.083635,0.887367,1.451014,2.037482085277656,2.037481992348508,-0.0051650614424702,86.39588480312541,-0.0333122209458682
8.0013,5.840575716276943,-2.2015790867558285,5.0061488708582615,7.958563410873849,5.80938,-2.18982,4.97941,0.7266495486654022,-0.2672990037328092,0.6328757192591723,8.14835e-05,0.00122949,-0.999999,100,10,0.6,0.726568,-0.268528,1.632875,2.2564055270712453,4.026779830248068,-0.6855103879686395,84.99385112914175,-0.042736589126151
8.0013,-4.891575394518293,0.8383616326332745,6.276180496342635,7.94804814202984,-4.85902,0.832782,6.23441,-0.6210718299302906,0.1019815118266637,0.7770904408835486,8.14835e-05,0.00122949,-0.999999,100,10,0.6,-0.621153,0.100752,1.777089,2.460706287878253,2.460705817625876,-0.6491147105873902,83.72381950365737,-0.0532518579701601
8.0013,4.66653005486981,0.8053895731198306,6.44946870466914,7.973437420631392,4.65028,0.802585,6.42701,0.5888283681331759,0.1163294134970455,0.799842872342471,8.14835e-05,0.00122949,-0.999999,100,10,0.6,0.588747,0.1151,1.799842,2.497510535568632,2.4975109658180394,-0.6629407886314214,83.55053129533086,-0.027862579368608
8.0013,0.0566103460825262,6.505044279077734,4.658540102430638,7.983385722835203,0.0564836,6.49048,4.64811,0.0005812139770572,0.817036790708596,0.5765852450582747,8.14835e-05,0.00122949,-0.999999,100,10,0.6,0.0005,0.815807,1.576584,2.1841098355731865,2.1841095147860727,-0.1494816130230184,85.34145989756937,-0.0179142771647971
8.0013,-4.527989369420138,-2.1651120403741926,6.231404642056631,7.965482489774238,-4.50772,-2.15542,6.20351,-0.5560517545586423,-0.2735009434638403,0.7848590193000553,8.14835e-05,0.00122949,-0.999999,100,10,0.6,-0.556133,-0.27473,1.784858,2.4738799596854038,2.473879755183533,-0.8242622162873214,83.76859535794337,-0.0358175102257627
8.0013,3.23752478809401,-0.088475522576473,7.316516043745251,7.968813640864347,3.22438,-0.0881163,7.28681,0.4112106427679797,-0.0020058908240517,0.9115381416464956,8.14835e-05,0.00122949,-0.999999,100,10,0.6,0.411129,-0.003235,1.911537,2.7177283316135914,2.717727947577137,-0.8158257075451697,82.68348395625475,-0.0324863591356532
8.0013,1.1764593195396045,-2.582994841290156,7.4809680395879825,7.9864780770124195,1.17428,-2.57821,7.46711,0.1427028440602205,-0.3033050113920587,0.9421475300405916,8.14835e-05,0.00122949,-0.999999,100,10,0.8,0.142621,-0.304535,1.942147,2.8008540614294417,2.800854165862867,-0.97818596287186,82.51903196041202,-0.014821922987581
8.0013,1.271199775819065,-5.280646784858256,5.8753401904505695,7.978516081365005,1.26758,-5.26561,5.85861,0.1518106432757592,-0.6556233127987404,0.7396699265909121,8.14835e-05,0.00122949,-0.999999,100,10,0.8,0.151729,-0.656853,1.739669,2.4045554278250734,3.8786296642923226,-0.9549908100698034,84.12465980954943,-0.0227839186349951
8.0013,1.296561572880971,-2.886901885215647,7.348845302689857,7.970557874113957,1.29158,-2.87581,7.32061,0.1628121679995324,-0.3524127893379541,0.921573341553636,8.14835e-05,0.00122949,-0.999999,100,10,0.8,0.162731,-0.353642,1.921572,2.7439919280628,2.7439916845287504,-0.981789285740668,82.65115469731015,-0.0307421258860438
8.0013,-1.5438344697261064,-4.077209048249404,6.709228211721428,7.964427519345003,-1.53672,-4.05842,6.67831,-0.1915437972509355,-0.5012531979091932,0.8438342285783978,8.14835e-05,0.00122949,-0.999999,100,10,0.8,-0.191625,-0.502483,1.843833,2.5763627453457985,3.706822589735707,-0.9789895447038236,83.29077178827858,-0.0368724806549973
8.0013,0.2908076231720461,-4.978598358659036,6.256979383014026,7.981390184626736,0.290084,-4.96621,6.24141,0.0486455728750589,-0.6252073604701358,0.7789411817676756,8.14835e-05,0.00122949,-0.999999,100,10,0.8,0.048564,-0.626437,1.77894,2.464991370283016,3.8181937968804966,-0.9764830481528044,83.74302061698597,-0.0199098153732641
8.0013,-2.717510374078694,7.0069837679477525,2.7455632450357808,7.9833678108239505,-2.71142,6.99128,2.73941,-0.3365328133387282,0.8696819336957883,0.3611080167338782,8.14835e-05,0.00122949,-0.999999,100,10,0.8,-0.336614,0.868452,1.361107,1.9391348560818231,1.9391347939059231,0.0667241042079223,87.25443675496422,-0.0179321891760499
8.0013,-1.572720219424086,6.699110072372285,4.0828025962143775,7.991123774451251,-1.57072,6.69059,4.07761,-0.1893792470901517,0.8381641829109487,0.5114844115481809,8.14835e-05,0.00122949,-0.999999,100,10,0.8,-0.189461,0.836935,1.511483,2.106526373534523,4.176659168258043,-0.0818277637910091,85.91719740378562,-0.0101762255487498
8.0013,1.9111480022017096,7.29974906935509,2.66119870136184,7.975476758702265,1.90498,7.27619,2.65261,0.2440831011227138,0.8931548437376384,0.3777537092528856,8.14835e-05,0.00122949,-0.999999,100,10,0.8,0.244002,0.891925,1.377753,1.9569578796525164,1.9569581019494708,0.062399664762267,87.33880129863816,-0.0258232412977355
8.0013,3.250616796890817,-3.190710528069288,6.5782716921573785,7.98176380212419,3.24268,-3.18292,6.56221,0.4052840923147163,-0.3966085230787264,0.8236786290404456,8.14835e-05,0.00122949,-0.999999,100,10,0.8,0.405203,-0.397838,1.823678,2.539465391925015,3.74371992463584,-0.9140478270679891,83.42172830784263,-0.0195361978758104
8.0013,-0.8267432592925934,0.1189286840872125,7.957584636139006,8.011682086730913,-0.827816,0.119083,7.96791,-0.1284907351825675,0.0196915833172486,0.9915151902611998,8.14835e-05,0.00122949,-0.999999,100,10,0.8,-0.128572,0.018462,1.991514,3.0111214289534463,3.011121078602463,-0.8776482619688797,82.042415363861,0.0103820867309121
8.0013,1.2947612348644355,-2.286211862312282,7.557620680830372,7.968045316926855,1.28938,-2.27671,7.52621,0.1400548762307997,-0.2869038363520386,0.947665985635476,8.14835e-05,0.00122949,-0.999999,100,10,0.8,0.139973,-0.288133,1.947665,2.817709014067729,3.465476479419829,-0.9757725918263964,82.44237931916963,-0.033254683073145
